ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
252551_at	0.4345	0.10599713	2.011286	-5.077603	0.246816	AT3G45880	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
253437_at	0.4345	0.10599901	-2.011271	-5.077621	-0.2937379	AT4G32460	hypothetical protein
266717_at	0.4345	0.10601974	-2.011111	-5.077825	-0.2391992	AT2G46735	hypothetical protein
251573_at	0.4345	0.10602404	2.011078	-5.077867	0.3795552	AT3G58140	phenylalanyl-tRNA synthetase
258826_at	0.4345	0.10602442	2.011075	-5.077871	0.2385655	GSL10	callose synthase 9
249973_at	0.4345	0.10605069	-2.010872	-5.078129	-0.2447363	AT5G19130	GPI transamidase component family protein / Gaa1-like family protein
263321_at	0.4345	0.10605971	-2.010802	-5.078217	-0.2276492	ARF1A1C	ADP-ribosylation factor 1
260770_at	0.4345	0.10608304	2.010622	-5.078446	0.9009614	AT1G49200	RING-H2 finger protein ATL75
248484_at	0.4345	0.10611886	-2.010345	-5.078798	-0.286543	AT5G51030	Rossmann-fold NAD(P)-binding domain-containing protein
253316_s_at	0.4345	0.10612054	2.010332	-5.078814	0.2710843	AT4G34300///AT4G33930	glycine-rich protein///glycine-rich protein
258188_at	0.4345	0.10613427	-2.010226	-5.078949	-0.4263662	AT3G17800	hypothetical protein
262855_at	0.4345	0.10615092	2.010097	-5.079112	0.3351744	PHT1;8	phosphate transporter 1;8
263725_at	0.4345	0.10618324	2.009848	-5.07943	0.3788446	AT2G13550	hypothetical protein
257488_s_at	0.4345	0.10618853	2.009807	-5.079481	0.2375323	AT1G36950///AT4G00070	RING/U-box domain-containing protein///RING/U-box superfamily protein
259751_at	0.4345	0.10619236	-2.009777	-5.079519	-0.903245	MYBL2	putative myb family transcription factor
253051_at	0.4353	0.10643637	-2.007896	-5.081909	-0.6014708	CYCB1;1	cyclin-B1-1
263612_at	0.4353	0.10644317	-2.007844	-5.081975	-0.5414351	MCM4	minichromosome maintenance protein 4
254102_at	0.4353	0.10644883	-2.0078	-5.082031	-0.2584549	ACP4	acyl carrier protein 4
260597_at	0.4353	0.10646221	-2.007697	-5.082162	-0.3365415	AT1G55915	zinc ion binding protein
245124_at	0.4353	0.10648075	-2.007555	-5.082343	-0.228718	U1A	spliceosomal protein U1A
256233_at	0.4358	0.10664409	2.006299	-5.083939	0.5943039	ITN1	protein INCREASED TOLERANCE TO NACL
266292_at	0.4358	0.10667255	-2.00608	-5.084217	-0.4377461	SAG13	senescence-associated protein 13
259422_at	0.4358	0.10667867	2.006033	-5.084276	0.2348319	AT1G13810	restriction endonuclease, type II-like superfamily protein
263480_at	0.4359	0.10671793	-2.005731	-5.084659	-0.2308076	ZIP7	zinc transporter 7
251592_at	0.4361	0.10679036	2.005175	-5.085366	0.2846629	NTT	transcription factor NO TRANSMITTING TRACT
258349_at	0.4362	0.10682001	-2.004948	-5.085655	-0.4623873	HYH	transcription factor HY5-like protein
247227_at	0.4362	0.10684239	2.004776	-5.085873	0.3495933	AT5G65130	ethylene-responsive transcription factor ERF057
252410_at	0.4362	0.10685342	2.004692	-5.08598	0.2530195	NOA1	NO-associated protein 1
266383_at	0.4362	0.10689779	-2.004352	-5.086412	-0.5936708	PRB1	pathogenesis-related protein 1
248179_at	0.4362	0.10690399	2.004304	-5.086473	1.1313575	THE1	receptor-like protein kinase THESEUS 1
250691_at	0.4362	0.10692568	2.004138	-5.086684	0.2324515	AT5G06580	D-lactate dehydrogenase [cytochrome]
252159_at	0.4362	0.10693493	-2.004067	-5.086774	-0.8047954	AT3G50540	hypothetical protein
264044_at	0.4362	0.10694405	2.003997	-5.086863	0.3012131	PFK5	6-phosphofructokinase 5
266181_at	0.4363	0.10699897	2.003577	-5.087397	0.2732927	GSTZ1	glutathione S-transferase zeta-class 1
262174_at	0.4363	0.10700899	2.0035	-5.087494	0.4149094	AT1G74910	ADP-glucose pyrophosphorylase family protein
252550_at	0.4364	0.10705054	2.003182	-5.087898	0.3671912	AT3G45870	nodulin MtN21 /EamA-like transporter family protein
260409_at	0.4364	0.1071089	2.002735	-5.088466	0.2883973	SHW1	serine-arginine-aspartate-rich protein SHW1
250012_x_at	0.4364	0.10712323	-2.002626	-5.088605	-0.4978099	AT5G18060	SAUR-like auxin-responsive protein
255318_at	0.4364	0.10713544	2.002532	-5.088724	0.2306579	AT4G04190	hypothetical protein
253510_at	0.4364	0.10715342	-2.002395	-5.088898	-0.3743607	GDU1	glutamine dumper 1
259093_at	0.4364	0.10716826	-2.002281	-5.089042	-0.3255962	AT3G04860	hypothetical protein
262856_at	0.4365	0.10719709	-2.002061	-5.089322	-0.2472263	AT1G14910	putative clathrin assembly protein
247415_at	0.4365	0.10722939	-2.001814	-5.089636	-0.2464762	AT5G63060	Sec14p-like phosphatidylinositol transfer family protein
258260_at	0.4366	0.1072676	-2.001522	-5.090006	-0.5706072	AT3G26850	histone-lysine N-methyltransferase
254342_at	0.4366	0.1072851	-2.001389	-5.090176	-0.3284003	EBS	protein EARLY BOLTING IN SHORT DAYS
260302_at	0.4366	0.10731065	-2.001194	-5.090424	-0.4615199	AT1G80310	molybdate transporter 2
251514_at	0.4366	0.10731969	2.001125	-5.090512	0.227137	AT3G59260	putative pirin-like protein
260398_at	0.4366	0.10733193	-2.001031	-5.09063	-0.6445285	PUM23	pumilio 23
262346_at	0.4368	0.10741522	-2.000396	-5.091437	-0.3451968	AT1G63980	D111/G-patch domain-containing protein
245069_at	0.4368	0.10745463	-2.000096	-5.091819	-0.3818638	UGT84B2	UDP-glucosyl transferase 84B2
259519_at	0.4368	0.10745626	-2.000083	-5.091835	-0.4324918	AT1G12270	protein HOP1
258669_at	0.4368	0.10747112	-1.99997	-5.091979	-0.2695895	AT3G08800	protein short-root interacting embryonic lethal
253516_at	0.4368	0.10747758	-1.999921	-5.092041	-0.2352088	AT4G31360	selenium binding protein
256091_at	0.4368	0.10751043	-1.99967	-5.092359	-0.3032159	HMGB2	high mobility group B2 protein
245894_at	0.4368	0.10752047	1.999594	-5.092456	0.3577102	AT5G09310	hypothetical protein
265704_at	0.4368	0.1075378	-1.999462	-5.092624	-0.3856122	AT2G03420	hypothetical protein
255588_at	0.4374	0.10771159	-1.99814	-5.094304	-0.760911	AT4G01570	pentatricopeptide repeat-containing protein
260154_at	0.4377	0.10779195	-1.997529	-5.095079	-0.2977847	HTA9	histone H2A protein 9
266329_at	0.4377	0.10781553	-1.99735	-5.095307	-0.2363823	CRR3	chlororespiratory reduction 3
255963_at	0.4377	0.10786069	1.997007	-5.095743	0.2944985	MBD8	methyl-CPG-binding domain-containing protein
248233_at	0.4377	0.10786626	-1.996964	-5.095796	-0.263418	AT5G53840	F-box/FBD/LRR-repeat protein
252045_at	0.4379	0.1079634	1.996227	-5.096732	0.2774437	PUB22	E3 ubiquitin-protein ligase PUB22
250458_s_at	0.4379	0.10797219	-1.996161	-5.096817	-0.3023253	ACT7	actin 7
245639_at	0.4379	0.10797375	-1.996149	-5.096832	-0.3978551	AT1G25260	ribosomal protein L10 family protein
244920_s_at	0.4379	0.10799214	1.99601	-5.097009	0.4360699	ArthMp086///AT2G07751	NADH dehydrogenase subunit 3///NADH-ubiquinone oxidoreductase chain 3
258541_at	0.4379	0.10802227	1.995781	-5.097299	0.3242965	AT3G07000	cysteine/histidine-rich C1 domain-containing protein
259523_at	0.4379	0.10804818	1.995585	-5.097549	0.3040802	AT1G12500	Nucleotide-sugar transporter family protein
257404_at	0.4379	0.10804842	-1.995583	-5.097551	-0.303483	SUVR1	histone-lysine N-methyltransferase SUVR1
244975_at	0.4381	0.10811591	-1.995072	-5.0982	-0.2401457	psbH	photosystem II reaction center protein H
246232_at	0.4381	0.10814145	-1.994878	-5.098446	-0.3711224	EMB2754	protein EMBRYO DEFECTIVE 2754
266018_at	0.4382	0.10818465	1.994551	-5.098861	0.3514741	SCY1	preprotein translocase subunit secY
251487_at	0.4382	0.10820602	-1.99439	-5.099067	-0.2262306	OASC	cysteine synthase C
260445_at	0.4382	0.1082158	1.994316	-5.099161	0.2938513	ARG1	DnaJ-like protein ARG1
251924_at	0.4382	0.10823109	-1.9942	-5.099308	-0.5305881	AT1G07820///AT1G07660///AT5G59970///AT5G59690///AT3G53730///AT3G46320///AT3G45930///HIS4	histone H4///histone H4///histone H4///histone H4///histone H4///histone H4///histone H4///histone H4
254989_at	0.4382	0.10825606	1.994011	-5.099547	0.2907544	AT4G10690	pseudo
249887_at	0.4382	0.10826178	-1.993968	-5.099602	-0.4536004	AT5G22310	hypothetical protein
266466_at	0.4382	0.10831473	-1.993568	-5.100111	-0.366372	AT2G47790	transducin/WD-40 repeat-containing protein
263589_at	0.4382	0.10833491	-1.993415	-5.100305	-0.2340163	AT2G25280	hypothetical protein
249300_at	0.4382	0.10834205	-1.993361	-5.100373	-0.2351753	AT5G41380	CCT motif family protein
265414_at	0.4382	0.10835601	1.993256	-5.100507	0.458816	AT2G16660	Major facilitator superfamily protein
255960_at	0.4382	0.10836866	-1.99316	-5.100628	-0.3408957	AT1G22140	hypothetical protein
264833_at	0.4382	0.10838693	1.993022	-5.100804	0.502121	AT1G03590	putative protein phosphatase 2C 1
254295_at	0.4384	0.10846032	-1.992468	-5.101507	-0.3232044	AT4G23080	hypothetical protein
254926_at	0.4384	0.10847848	-1.992331	-5.101681	-0.6657421	ACS6	1-aminocyclopropane-1-carboxylate synthase 6
265369_s_at	0.4384	0.10850233	-1.992151	-5.10191	-0.5833302	AT2G06470	pseudo
248809_at	0.4384	0.10852726	-1.991963	-5.102149	-0.3523364	RABA5a	RAB GTPase homolog A5A
252726_at	0.4384	0.10854097	-1.99186	-5.10228	-0.3853203	AT3G43060	pseudo
247599_at	0.4385	0.10856629	-1.991669	-5.102523	-0.3754067	BASL	protein BREAKING OF ASYMMETRY IN THE STOMATAL LINEAGE
265999_at	0.4386	0.10862691	1.991212	-5.103103	0.2928082	AT2G24100	hypothetical protein
265174_s_at	0.4387	0.10865936	1.990967	-5.103413	0.3203014	AT1G23460	polygalacturonase
255237_at	0.4387	0.10867213	-1.990871	-5.103535	-0.2471997	AT4G05550	pseudo
251362_at	0.4387	0.10869634	-1.990689	-5.103767	-0.5932972	AT3G61240	DEAD-box ATP-dependent RNA helicase 12
254207_at	0.4388	0.1087402	1.990359	-5.104186	0.6328833	AT4G24060	Dof zinc finger protein DOF4.6
253793_at	0.439	0.10882043	1.989755	-5.104953	0.2436749	XIH	myosin XI H
245594_at	0.439	0.10884548	-1.989567	-5.105192	-0.2287339	AT4G14570	acylamino acid-releasing enzyme
257063_s_at	0.439	0.108895	-1.989194	-5.105665	-0.3486803	AT4G21460///AT3G18240	ribosomal protein S24/S35///ribosomal protein S24/S35
261585_at	0.439	0.10891995	1.989007	-5.105903	0.2915252	NAC001	NAC domain-containing protein 1
260914_at	0.439	0.1089303	1.988929	-5.106002	1.461923	BXL2	probable beta-D-xylosidase 2
261308_at	0.439	0.10894235	-1.988839	-5.106117	-0.4082806	RKL1	receptor-like kinase 1
260689_at	0.439	0.10894724	-1.988802	-5.106163	-0.4455672	AT1G32290	hypothetical protein
256543_at	0.439	0.10894802	-1.988796	-5.106171	-0.6033799	AT1G42480	hypothetical protein
255643_at	0.439	0.10899695	1.988429	-5.106637	0.5158687	AT4G00840	putative S-acyltransferase
245650_at	0.439	0.10901093	-1.988324	-5.106771	-0.3894809	AT1G24735	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
258809_at	0.439	0.10902006	-1.988255	-5.106858	-0.4048128	NAC047	NAC domain containing protein 47
260316_at	0.4391	0.10908337	-1.98778	-5.107461	-0.5779244	AT1G63810	hypothetical protein
252220_at	0.4391	0.10909038	1.987728	-5.107528	0.8297063	LBD38	LOB domain-containing protein 38
245133_at	0.4391	0.10909441	-1.987697	-5.107566	-0.4644885	GAE4	UDP-D-glucuronate 4-epimerase 4
250408_at	0.4391	0.10910424	-1.987624	-5.10766	-0.8253092	CIPK5	CBL-interacting protein kinase 5
267632_at	0.4391	0.10915235	1.987263	-5.108118	0.3276124	BRIZ1	RING domain containing protein BRIZ1
254332_at	0.4391	0.10915642	-1.987232	-5.108157	-0.3630651	AT4G22730	leucine-rich repeat protein kinase-like protein
255106_at	0.4391	0.10918252	-1.987037	-5.108405	-0.2379576	AT4G08710	pseudo
261223_at	0.4391	0.1091893	-1.986986	-5.108469	-0.4267935	HVA22H	HVA22-like protein H
247530_at	0.4391	0.10920151	1.986894	-5.108586	0.2488109	AT5G61540	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
259755_at	0.4392	0.1092571	-1.986478	-5.109114	-0.3488389	AT1G71070	core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase
253739_at	0.4392	0.1092692	-1.986388	-5.109229	-0.3142214	AT4G28760	hypothetical protein
266452_at	0.4392	0.10928911	1.986238	-5.109419	0.2328414	AT2G43320	S-adenosyl-L-methionine-dependent methyltransferase-like protein
248937_at	0.4392	0.10931962	1.98601	-5.109709	0.3445208	RLP55	receptor like protein 55
265149_at	0.4395	0.10939913	-1.985415	-5.110464	-0.2324394	AT1G51400	photosystem II 5 kD protein
258563_at	0.4395	0.10944261	1.98509	-5.110877	0.2802358	LACS6	long-chain acyl-CoA synthetase 6
256013_at	0.4395	0.10946991	1.984886	-5.111136	0.3937285	DA1	protein DA1
259596_at	0.4395	0.10950875	-1.984596	-5.111504	-0.4765524	GH3.17	indole-3-acetic acid-amido synthetase GH3.17
252332_at	0.4395	0.10951684	-1.984535	-5.111581	-0.2569892	AT3G48810	pentatricopeptide repeat-containing protein
250736_s_at	0.4395	0.10951746	1.984531	-5.111587	0.2263799	AT1G01350///AT5G06420	zinc finger CCCH domain-containing protein 1///zinc finger CCCH domain-containing protein 51
261325_at	0.4395	0.1095223	-1.984495	-5.111633	-0.4060287	AT1G44780	hypothetical protein
262588_at	0.4396	0.10957164	1.984126	-5.112101	0.2461782	AT1G15130	endosomal targeting BRO1-like domain-containing protein
258576_at	0.4402	0.10973911	1.982877	-5.113687	0.3651939	AT3G04230	40S ribosomal protein S16-2
253072_at	0.4403	0.10978569	1.98253	-5.114128	0.2580668	AT4G37830	cytochrome c oxidase subunit 6a
249884_at	0.4403	0.10978932	-1.982503	-5.114162	-0.3028738	CHX9	cation/H(+) antiporter 9
245025_at	0.4405	0.10985271	-1.982031	-5.114762	-0.2487997	atpF	ATPase subunit I
260960_at	0.4409	0.10998205	-1.981068	-5.115984	-0.358584	RHS2	calmodulin-like protein 7
247634_at	0.4409	0.11000046	-1.980931	-5.116157	-0.2243428	AT5G60520	late embryogenesis abundant protein-like protein
258375_at	0.4411	0.11006285	1.980468	-5.116746	0.3553954	CRSH	Ca2+-activated RelA/spot-like protein
258900_at	0.4411	0.11009592	-1.980222	-5.117058	-0.295754	RPL18	60S ribosomal protein L18-2
260693_at	0.4411	0.11012302	-1.980021	-5.117314	-0.6979633	NRT1.5	nitrate transporter 1.5
259849_at	0.4412	0.11015757	-1.979764	-5.117639	-0.3284175	AT1G72190	D-isomer specific 2-hydroxyacid dehydrogenase domain protein ARA
263512_at	0.4412	0.11016527	-1.979707	-5.117712	-0.3426971		
261819_at	0.4413	0.11022515	-1.979263	-5.118276	-0.3157509	AT1G11410	G-type lectin S-receptor-like serine/threonine-protein kinase
246237_at	0.4414	0.11026171	1.978992	-5.11862	0.2446505	AT4G36390	Methylthiotransferase
255168_at	0.4414	0.11029675	-1.978732	-5.11895	-0.2546385		
253764_s_at	0.4414	0.11033565	1.978443	-5.119316	0.3058966	ckl3///ckl4	protein casein kinase I-like 3///casein kinase I-like 4
260587_at	0.4414	0.11037029	1.978187	-5.119642	0.3733181	AT1G53210	Na+/Ca 2+ exchanger-like protein
259820_at	0.4414	0.1103744	1.978156	-5.119681	0.2631414	AT1G66210	Subtilisin-like serine endopeptidase family protein
257795_at	0.4414	0.11037825	1.978128	-5.119717	0.3730091	AT3G15910	hypothetical protein
252913_at	0.4414	0.1103794	1.978119	-5.119728	0.3491596	ATRER1A	protein RER1A
247603_at	0.4414	0.11040005	-1.977966	-5.119922	-0.4662541	AT5G60930	P-loop containing nucleoside triphosphate hydrolases superfamily protein
251563_at	0.4417	0.11049934	1.977231	-5.120855	0.4631409	AT3G57880	C2 domain-containing plant phosphoribosyltransferase-like protein
249152_s_at	0.4419	0.11056979	1.97671	-5.121517	0.2428545	PHT1;2///PHT1;1	phosphate transporter Pht1;2///inorganic phosphate transporter 1-1
249411_at	0.4419	0.11060405	-1.976457	-5.121838	-0.4257123	SIP1	putative galactinol--sucrose galactosyltransferase 5
260524_at	0.4419	0.11061816	-1.976353	-5.121971	-0.2518131	DUF6	hypothetical protein
258940_at	0.4419	0.11063068	1.97626	-5.122088	0.2504762	AT3G09930	GDSL esterase/lipase
258252_at	0.4419	0.11068985	-1.975823	-5.122643	-0.5475895	AT3G15720	probable polygalacturonase
251877_at	0.4419	0.11069594	1.975778	-5.1227	0.2767626	VAMP727	vesicle-associated membrane protein 727
253168_at	0.4419	0.11069644	-1.975774	-5.122705	-0.3436845	AT4G35070	SBP (S-ribonuclease binding protein) family protein
254825_at	0.4419	0.1107103	-1.975672	-5.122835	-0.4440605	AT4G12640	RNA recognition motif (RRM)-containing protein
255409_at	0.4419	0.1107604	-1.975302	-5.123304	-0.2941728	AT4G03090	sequence-specific DNA binding transcription factor
247685_at	0.4419	0.11076422	1.975274	-5.12334	0.2869561	AT5G59680	leucine-rich repeat protein kinase family protein
257905_at	0.4419	0.11079618	-1.975038	-5.12364	-0.9781138	AT3G17050	pseudo
263730_at	0.4419	0.11079928	1.975015	-5.123669	0.2623883	BGLU4	beta glucosidase 4
264344_at	0.4419	0.11081536	-1.974897	-5.123819	-0.227841	APA1	aspartic proteinase A1
249881_at	0.4419	0.11081924	-1.974868	-5.123856	-0.2556106	CYP86B1	cytochrome P450 86B1
247707_at	0.4422	0.11095032	1.973902	-5.125082	0.2452479	AT5G59450	GRAS family transcription factor
248858_at	0.4422	0.11095694	1.973853	-5.125144	0.2542564	AT5G46630	clathrin adaptor complexes medium subunit family protein
249211_at	0.4422	0.11096134	1.97382	-5.125185	0.6247402	AT5G42680	hypothetical protein
266114_at	0.4422	0.11101858	1.973399	-5.12572	0.2256141	AT2G02150	putative pentatricopeptide repeat-containing protein
256735_at	0.4422	0.11102009	1.973388	-5.125735	0.2348688	EXO70E1	exocyst subunit exo70 family protein E1
252891_at	0.4422	0.11103315	-1.973292	-5.125857	-0.2463838	WRKY13	putative WRKY transcription factor 13
254025_at	0.4422	0.11103379	-1.973287	-5.125863	-0.2841622	AT4G25790	allergen V5/Tpx-1-related family protein
261633_at	0.4424	0.1110871	1.972895	-5.126361	0.2493287	AT1G49930	hypothetical protein
263989_at	0.4424	0.11113308	-1.972556	-5.12679	-0.2312698	MPK20	mitogen-activated protein kinase 20
262799_at	0.4424	0.11113396	1.97255	-5.126798	0.2360522	AT1G20970	hypothetical protein
260750_at	0.4424	0.11115866	-1.972368	-5.127029	-0.2237883	AT1G49100	putative leucine-rich repeat protein kinase
256438_s_at	0.4425	0.11121874	-1.971927	-5.127589	-0.5309714	AT1G56045///AT3G56020///AT3G11120///AT3G08520///AT2G40205	60S ribosomal protein L41///60S ribosomal protein L41///60S ribosomal protein L41///60S ribosomal protein L41///60S ribosomal protein L41
248587_at	0.4425	0.11123084	-1.971838	-5.127702	-0.2822193	AT5G49550	biogenesis of lysosome-related organelles complex 1 subunit 2
246081_s_at	0.4425	0.11123608	-1.971799	-5.127751	-0.4189274	XIK///AT5G20470	Myosin XI K///putative myosin
251837_s_at	0.4426	0.11128754	-1.971421	-5.128231	-0.4948804	AT3G55220///AT3G55200	spliceosome-associated protein 130B///spliceosomal associated protein 130A
251917_at	0.4426	0.1112913	-1.971394	-5.128266	-0.2610551	AT3G53970	probable proteasome inhibitor
256182_at	0.4426	0.11131377	1.971229	-5.128475	0.4301704	SYP81	syntaxin-81
266795_at	0.4427	0.11136229	-1.970872	-5.128927	-0.4498703	MED8	mediator subunit 8
264010_at	0.4427	0.11137103	-1.970808	-5.129009	-0.3398201	AT2G21100	dirigent protein 23
267606_at	0.4427	0.11140318	-1.970573	-5.129308	-0.2689418	KCS11	3-ketoacyl-CoA synthase 11
251107_at	0.4429	0.11147046	1.970079	-5.129934	0.3069396	AT5G01610	hypothetical protein
255558_at	0.4429	0.11149488	1.9699	-5.130162	0.3177505	GLB1	GLNB1-like protein
259822_at	0.443	0.11154982	1.969498	-5.130673	0.885763	MYB20	myb domain protein 20
262605_at	0.443	0.11156324	1.969399	-5.130797	0.4184242	AT1G15170	MATE efflux family protein
253523_at	0.443	0.11159567	-1.969162	-5.131099	-0.298165	AT4G31340	myosin heavy chain-related protein
245633_at	0.443	0.11161303	1.969035	-5.13126	0.2477955	TLP10	tubby-like F-box protein 10
256049_at	0.443	0.11162839	-1.968922	-5.131403	-0.2345365	AT1G07010	shewenella-like protein phosphatase 1
256672_at	0.443	0.11163887	1.968846	-5.1315	0.2578735	AT3G52310	ABC transporter G family member 27
250412_at	0.443	0.11165969	1.968693	-5.131694	0.3492192	VAMP713	vesicle-associated membrane protein 713
259168_at	0.4432	0.11171434	1.968293	-5.132201	0.244339	AT3G03570	hypothetical protein
260671_at	0.4434	0.11179426	1.967709	-5.132943	0.5359127	AT1G19310	RING/U-box superfamily protein
262902_x_at	0.4434	0.11181597	-1.96755	-5.133144	-0.2980278	AT1G59930	maternally expressed imprinted protein
255485_at	0.4434	0.11186268	1.967209	-5.133577	0.2412295	AT4G02550	hypothetical protein
265920_s_at	0.4434	0.11186781	-1.967172	-5.133625	-0.2825728	AT2G15220	basic secretory protein family protein
245867_at	0.4434	0.11188584	1.96704	-5.133792	0.238949	ATP-PRT1	ATP phosphoribosyl transferase 1
256578_at	0.4434	0.11189901	1.966944	-5.133914	0.6363669	AT3G28200	peroxidase 31
248565_at	0.4434	0.11193006	-1.966717	-5.134201	-0.2867493	AT5G49710	hypothetical protein
247988_at	0.4434	0.1119404	-1.966642	-5.134297	-0.2284824	AT5G56910	proteinase inhibitor I25, cystatin, conserved region-containing protein
260665_at	0.4436	0.11201391	1.966105	-5.134978	0.2415402	AT1G19360	reduced residual arabinose 3
247887_at	0.4436	0.11201811	-1.966075	-5.135017	-0.2760881	MPS1	protein MULTIPOLAR SPINDLE 1
262631_at	0.4437	0.11206658	-1.965721	-5.135465	-0.3024555	AT1G06500	hypothetical protein
255593_at	0.4437	0.11209169	1.965538	-5.135697	0.3173046	AT4G01650	polyketide cyclase / dehydrase and lipid transport protein
255717_at	0.4438	0.11214752	-1.965132	-5.136214	-0.2599339	AT4G00350	MATE efflux family protein
249375_at	0.4438	0.11215278	1.965093	-5.136262	0.2916785	AGP24	arabinogalactan protein 24
249637_at	0.4439	0.11220157	-1.964738	-5.136713	-0.3511402	AT5G36900	hypothetical protein
265627_at	0.4441	0.11225428	-1.964354	-5.1372	-0.3608242	AT2G27285	Coiled-coil domain-containing protein 55
257915_at	0.4441	0.11228805	1.964109	-5.137512	0.3018154	SUP	transcriptional regulator protein SUPERMAN
251771_at	0.4441	0.11230559	1.963981	-5.137674	0.4392623	CSLA14	cellulose synthase like A14
246931_at	0.4442	0.11233963	1.963734	-5.137988	0.2564631	AT5G25170	PPPDE putative thiol peptidase family protein
259769_at	0.4443	0.11239022	1.963366	-5.138455	0.3639011	ML5	MEI2-like protein 5
249146_at	0.4443	0.11244485	1.962969	-5.138958	0.427633	AT5G43310	COP1-interacting protein-like protein
264384_at	0.4443	0.11246361	-1.962833	-5.139131	-0.3364685	PKL	CHD3-type chromatin-remodeling factor PICKLE
255361_at	0.4443	0.11249897	-1.962576	-5.139457	-0.3151083	AT4G03990	pseudo
250383_at	0.4443	0.11251649	-1.962449	-5.139618	-0.2991003	AT5G11480	P-loop containing nucleoside triphosphate hydrolases superfamily protein
265697_at	0.4443	0.11252059	-1.962419	-5.139656	-0.2998449	AT2G32170	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
258797_at	0.4443	0.11253219	1.962335	-5.139763	0.4004272	IAA16	auxin-responsive protein IAA16
251184_at	0.4443	0.11254173	-1.962266	-5.139851	-0.3326136	AT3G62840///AT2G47640	small nuclear ribonucleoprotein D2///small nuclear ribonucleoprotein D2
254864_at	0.4443	0.11255135	-1.962196	-5.139939	-0.2249991	AT4G12180	pseudo
245811_at	0.4443	0.11256565	-1.962092	-5.140071	-0.278803		
261155_at	0.4443	0.11257282	1.96204	-5.140137	0.2897113	AT1G04960	hypothetical protein
262571_at	0.4443	0.11260795	1.961785	-5.14046	0.5556405	AT1G15430	hypothetical protein
247584_at	0.4443	0.11263166	-1.961613	-5.140679	-0.3618374	AT5G60670	60S ribosomal protein L12-3
253965_at	0.4443	0.11265438	1.961448	-5.140888	0.2313269	AT4G26490	late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family member
253364_at	0.4445	0.112721	1.960966	-5.1415	0.5291526	AT4G33160	F-box only protein 13
246505_at	0.4448	0.11280598	-1.96035	-5.142281	-0.4723216	AT5G16250	hypothetical protein
256792_at	0.4448	0.11281946	-1.960253	-5.142405	-0.5605307	AT3G22150	pentatricopeptide repeat-containing protein
251375_at	0.4448	0.11283758	1.960122	-5.142571	0.3092324	AT3G60410	hypothetical protein
263068_at	0.4448	0.11286214	-1.959944	-5.142797	-0.5289663	AT2G17580	polynucleotide adenylyltransferase family protein
261132_at	0.445	0.11295653	-1.959261	-5.143663	-0.2457882	TGD1	trigalactosyldiacylglycerol 1
262412_at	0.445	0.11295656	1.959261	-5.143663	0.434219	GRF11	14-3-3-like protein GF14 omicron
252681_at	0.4452	0.11301753	1.95882	-5.144222	0.2380335	NAC061	putative NAC domain-containing protein 61
259579_at	0.4452	0.11304435	1.958627	-5.144468	0.3523872	PGP14	ABC transporter B family member 14
264708_at	0.4453	0.11310125	-1.958216	-5.144989	-0.2907741	AT1G09740	adenine nucleotide alpha hydrolases-like protein
254504_at	0.4457	0.11321276	1.957411	-5.14601	0.2586725	AT4G20030	RNA recognition motif-containing protein
255217_s_at	0.4457	0.11324796	-1.957157	-5.146332	-0.6353154	AT4G07680	pseudo
261232_at	0.4457	0.11324821	-1.957156	-5.146335	-0.3723389	AT1G20220	Alba DNA/RNA-binding protein
263901_at	0.4458	0.11330317	1.95676	-5.146837	0.5993356	AT2G36320	zinc finger A20 and AN1 domain-containing stress-associated protein 4
261221_at	0.4458	0.11330807	-1.956724	-5.146882	-0.3987516	AT1G19960	hypothetical protein
248692_s_at	0.4459	0.11335297	1.956401	-5.147292	0.3044464	AT5G48320///AT4G15070	cysteine/histidine-rich C1 domain-containing protein///cysteine/histidine-rich C1 domain-containing protein
265946_s_at	0.446	0.11342213	-1.955903	-5.147924	-0.4859059	NFC5///FVE	nucleosome/chromatin assembly factor group C5///WD-40 repeat-containing protein MSI4
250095_at	0.446	0.11343404	-1.955817	-5.148033	-0.2408993	PSY	phytoene synthase
262263_at	0.446	0.1134493	-1.955707	-5.148172	-0.2729241	PIN3	auxin efflux carrier component 3
265353_at	0.4462	0.1135163	-1.955225	-5.148783	-0.3255451	AT2G16800	high-affinity nickel-transport family protein
264936_at	0.4464	0.11360498	1.954588	-5.149592	0.36085	EDA16	protein EMBRYO SAC DEVELOPMENT ARREST 16
249840_at	0.4464	0.11362928	1.954413	-5.149814	0.253222	LCBK1	Sphingoid long-chain bases kinase 1
252922_at	0.4464	0.11363133	-1.954399	-5.149832	-0.2395613	AT4G39040	putative RNA-binding protein containing KH domain
258886_at	0.4464	0.11364583	-1.954295	-5.149964	-0.3615451	IMPA-7	importin alpha isoform 7
257225_s_at	0.4464	0.11367677	-1.954072	-5.150246	-0.2418256	RPL12-C///RPL12-A	50S ribosomal protein L12-3///50S ribosomal protein L12-1
